"文件","行数","类别","扩展名","符号数","主要作用"
"app/extension/connect/page.tsx","18","Next.js页面入口",".tsx","2","该文件属于“Next.js页面入口”模块"
"app/globals.css","101","项目资源",".css","0","该文件属于“项目资源”模块"
"app/layout.tsx","34","全局页面布局",".tsx","5","该文件属于“全局页面布局”模块"
"app/literature/library/page.tsx","6","Next.js页面入口",".tsx","2","该文件属于“Next.js页面入口”模块"
"app/literature/page.tsx","6","Next.js页面入口",".tsx","2","该文件属于“Next.js页面入口”模块"
"app/literature/papers/[id]/page.tsx","14","Next.js页面入口",".tsx","3","该文件属于“Next.js页面入口”模块"
"app/literature/papers/[id]/reading/page.tsx","14","Next.js页面入口",".tsx","3","该文件属于“Next.js页面入口”模块"
"app/literature/reading/page.tsx","6","Next.js页面入口",".tsx","2","该文件属于“Next.js页面入口”模块"
"app/literature/review/page.tsx","6","Next.js页面入口",".tsx","2","该文件属于“Next.js页面入口”模块"
"app/local-connector/page.tsx","134","Next.js页面入口",".tsx","4","该文件属于“Next.js页面入口”模块"
"app/page.tsx","6","Next.js页面入口",".tsx","2","该文件属于“Next.js页面入口”模块"
"app/presentation/page.tsx","6","Next.js页面入口",".tsx","2","该文件属于“Next.js页面入口”模块"
"app/translate/page.tsx","6","Next.js页面入口",".tsx","2","该文件属于“Next.js页面入口”模块"
"app/usage/page.tsx","169","Next.js页面入口",".tsx","8","该文件属于“Next.js页面入口”模块"
"CHANGELOG.md","21","项目资源",".md","0","该文件属于“项目资源”模块"
"CLAUDE.md","2","项目资源",".md","0","该文件属于“项目资源”模块"
"components/artifact-generation-dialog.tsx","408","React界面组件",".tsx","31","该文件属于“React界面组件”模块"
"components/attachment-preview.tsx","59","React界面组件",".tsx","6","该文件属于“React界面组件”模块"
"components/auth-form.tsx","188","React界面组件",".tsx","11","该文件属于“React界面组件”模块"
"components/chat-input.tsx","474","React界面组件",".tsx","50","该文件属于“React界面组件”模块"
"components/chat-message.tsx","1127","React界面组件",".tsx","94","该文件属于“React界面组件”模块"
